Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,115560,115950,115410,115750
26.09.2018,115760,115800,115710,115710
26.09.2018,115710,115760,115670,115730
26.09.2018,115740,115770,115650,115650
26.09.2018,115660,115740,115540,115560
26.09.2018,115570,115650,115540,115630
26.09.2018,115640,115680,115600,115660
26.09.2018,115660,115720,115640,115680
26.09.2018,115690,115750,115640,115660
26.09.2018,115650,115690,115620,115640
26.09.2018,115640,115700,115600,115600
26.09.2018,115600,115750,115570,115720
26.09.2018,115740,115770,115660,115710
26.09.2018,115730,115820,115710,115780
26.09.2018,115780,115790,115730,115780
26.09.2018,115770,115780,115680,115740
26.09.2018,115730,115880,115690,115830
26.09.2018,115830,115860,115790,115830
26.09.2018,115830,115940,115810,115940
26.09.2018,115940,115990,115880,115900
26.09.2018,115890,115940,115890,115920
26.09.2018,115900,115960,115860,115860
26.09.2018,115860,115970,115860,115970
26.09.2018,115960,116040,115950,116020
26.09.2018,116020,116050,115950,115990
26.09.2018,116000,116000,115920,115920
26.09.2018,115920,116000,115920,115960
26.09.2018,115980,116040,115920,116040
26.09.2018,116040,116080,116010,116040
26.09.2018,116040,116130,116030,116080
26.09.2018,116090,116120,115990,116010
26.09.2018,116000,116060,116000,116030
26.09.2018,116030,116060,116000,116060
26.09.2018,116060,116080,116010,116020
26.09.2018,116020,116170,116010,116140
26.09.2018,116150,116190,116090,116090
26.09.2018,116100,116130,116020,116090
26.09.2018,116100,116100,116030,116040
26.09.2018,116040,116050,115950,115950
26.09.2018,115950,115980,115940,115940
26.09.2018,115940,116040,115930,116000
26.09.2018,116000,116030,115980,116020
26.09.2018,116030,116040,115990,116000
26.09.2018,116000,116070,115970,116030
26.09.2018,116020,116040,115970,115990
26.09.2018,115980,115990,115930,115940
26.09.2018,115940,116010,115940,115970
26.09.2018,115960,115960,115900,115900
26.09.2018,115900,115910,115870,115900
26.09.2018,115900,115960,115890,115960
26.09.2018,115960,115970,115910,115970
26.09.2018,115970,116060,115960,116000
26.09.2018,116010,116020,115970,115980
26.09.2018,115990,116000,115930,115940
26.09.2018,115940,115980,115930,115980
26.09.2018,115990,115990,115950,115980
26.09.2018,115960,115980,115890,115900
26.09.2018,115890,115970,115890,115910
26.09.2018,115920,115940,115880,115910
26.09.2018,115900,115900,115840,115890
26.09.2018,115900,116010,115880,115990
26.09.2018,115990,115990,115930,115930
26.09.2018,115940,116000,115920,115980
26.09.2018,115960,115980,115870,115900
26.09.2018,115910,115910,115850,115860
26.09.2018,115850,115880,115820,115840
26.09.2018,115840,115900,115810,115900
26.09.2018,115880,115890,115850,115880
26.09.2018,115870,115940,115870,115930
26.09.2018,115940,115960,115930,115940
26.09.2018,115940,115950,115900,115920
26.09.2018,115930,115950,115920,115950
26.09.2018,115940,115970,115920,115950
26.09.2018,115950,116010,115950,115990
26.09.2018,115980,116000,115920,115930
26.09.2018,115920,115930,115870,115870
26.09.2018,115890,115950,115850,115950
26.09.2018,115950,115970,115920,115950
26.09.2018,115940,115980,115930,115980
26.09.2018,115980,116050,115960,115980
26.09.2018,115980,116010,115950,115970
26.09.2018,115980,115990,115880,115900
26.09.2018,115880,115930,115860,115860
26.09.2018,115880,115950,115860,115930
26.09.2018,115930,115930,115890,115920
26.09.2018,115940,115950,115880,115890
26.09.2018,115890,115910,115890,115910
26.09.2018,115920,115940,115910,115930
26.09.2018,115930,115930,115870,115890
26.09.2018,115880,115960,115880,115940
26.09.2018,115950,115960,115890,115900
26.09.2018,115910,115920,115880,115880
26.09.2018,115880,115890,115840,115880
26.09.2018,115880,115910,115870,115870
26.09.2018,115890,115900,115870,115870
26.09.2018,115880,115880,115820,115830
26.09.2018,115820,115830,115720,115790
26.09.2018,115780,115820,115750,115790
26.09.2018,115800,115810,115760,115780
26.09.2018,115790,115800,115750,115770
26.09.2018,115770,115830,115770,115790
26.09.2018,115790,115790,115750,115770
26.09.2018,115770,115790,115760,115760
26.09.2018,115760,115800,115700,115770
26.09.2018,115770,115770,115740,115760
26.09.2018,115750,115800,115740,115770
26.09.2018,115770,115770,115650,115700
26.09.2018,115700,115700,115600,115630
26.09.2018,115640,115650,115350,115400
26.09.2018,115390,115430,115350,115400
26.09.2018,115390,115420,115330,115390
26.09.2018,115390,115430,115370,115430
26.09.2018,115420,115460,115380,115380
26.09.2018,115400,115410,115370,115400
26.09.2018,115390,115390,115210,115210
26.09.2018,115200,115250,115080,115200
26.09.2018,115210,115240,115180,115240
26.09.2018,115230,115270,115200,115270
26.09.2018,115270,115270,115200,115230
26.09.2018,115220,115270,115210,115250
26.09.2018,115240,115270,115200,115210
26.09.2018,115220,115250,115180,115230
26.09.2018,115230,115240,115160,115180
26.09.2018,115190,115200,115140,115170
26.09.2018,115160,115210,115130,115140
26.09.2018,115130,115130,114870,114990
26.09.2018,115000,115030,114970,114990
26.09.2018,115000,115060,115000,115060
26.09.2018,115060,115060,114990,115030
26.09.2018,115030,115080,114990,115080
26.09.2018,115080,115080,115010,115010
26.09.2018,115010,115090,115000,115060
26.09.2018,115060,115110,115050,115110
26.09.2018,115110,115150,115060,115080
26.09.2018,115090,115110,115060,115080
26.09.2018,115070,115100,115050,115100
26.09.2018,115090,115160,115090,115150
26.09.2018,115160,115230,115140,115210
26.09.2018,115210,115230,115170,115200
26.09.2018,115190,115200,115160,115180
26.09.2018,115180,115180,115110,115150
26.09.2018,115150,115150,115070,115070
26.09.2018,115080,115080,114950,114960
26.09.2018,114960,115020,114920,115000
26.09.2018,115000,115010,114910,114950
26.09.2018,114950,115000,114920,114990
26.09.2018,115000,115010,114960,114970
26.09.2018,114980,115010,114940,114970
26.09.2018,114960,115050,114950,115030
26.09.2018,115030,115060,115010,115020
26.09.2018,115010,115040,114990,115040
26.09.2018,115030,115030,114940,114950
26.09.2018,114950,115040,114950,115010
26.09.2018,115020,115040,115000,115040
26.09.2018,115050,115050,114970,115000
26.09.2018,115010,115040,114980,115030
26.09.2018,115030,115060,115010,115060
26.09.2018,115060,115070,115040,115070
26.09.2018,115060,115110,115060,115100
26.09.2018,115090,115100,115020,115050
26.09.2018,115040,115070,115030,115060
26.09.2018,115060,115080,115040,115070
26.09.2018,115070,115070,115040,115050
26.09.2018,115040,115040,114990,115000
26.09.2018,114990,114990,114870,114950
26.09.2018,114940,115000,114920,114940
26.09.2018,114940,115000,114940,114980
26.09.2018,114970,114970,114890,114950
26.09.2018,114950,114980,114930,114980
26.09.2018,114980,114980,114900,114920
26.09.2018,114900,114960,114880,114900
26.09.2018,114910,114910,114830,114880
26.09.2018,114880,114940,114870,114940
26.09.2018,114930,115040,114930,115020
26.09.2018,115020,115080,115020,115040
26.09.2018,115050,115130,115040,115080
26.09.2018,115100,115120,115080,115120
26.09.2018,115120,115130,114980,114990
26.09.2018,115000,115010,114870,114940
26.09.2018,114930,114940,114790,114830
26.09.2018,114830,114890,114780,114890
26.09.2018,114890,114950,114850,114930
26.09.2018,114930,114950,114900,114930
26.09.2018,114930,114970,114890,114920
26.09.2018,114910,114930,114880,114890
26.09.2018,114900,114960,114860,114930
26.09.2018,114930,114980,114910,114950
26.09.2018,114950,114970,114920,114960
26.09.2018,114960,114980,114950,114980
26.09.2018,114970,115000,114940,114970
26.09.2018,114970,114970,114920,114960
26.09.2018,114970,115010,114960,115010
26.09.2018,115010,115050,115000,115050
26.09.2018,115050,115050,114980,115000
26.09.2018,115000,115030,114990,115020
26.09.2018,115020,115040,114970,115040
26.09.2018,115040,115060,114990,115040
26.09.2018,115040,115070,115020,115030
26.09.2018,115040,115060,115020,115020
26.09.2018,115040,115050,115020,115050
